Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M;offerta massima;fascia;indice squadra;titolarita;rigori;punizioni;angoli;note;Check su altro file 
5677;D;Dc;Perez N.;Udinese;9;9;0;9;9;0;12;12;5;5;2;7;;;;;KO
770;D;"Ds;E";Pezzella Giu.;Empoli;5;5;0;5;5;0;5;5;2;6;5;6;;;;;KO
6432;D;"Dd;Ds;E";Pierozzi;Fiorentina;1;1;0;1;2;-1;2;3;1;6;9;1;;;;;KO
4897;D;Dc;Pirola;Salernitana;5;5;0;5;5;0;10;10;4;5;3;7;;;;sco;KO
5603;D;Dc;Pongracic;Lecce;5;5;0;5;5;0;6;6;2;6;5;5;;;;;KO
6066;D;"Dd;Dc";Posch;Bologna;15;16;-1;17;18;-1;46;50;18;3;1;9;;;;antisco;KO
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;5;5;0;5;6;-1;12;12;5;5;7;4;;;;;KO
2169;D;"Ds;Dc";Rodriguez R.;Torino;8;8;0;9;9;0;10;12;4;5;4;6;3;3;3;+;KO
460;D;Dc;Romagnoli;Lazio;13;13;0;13;13;0;36;36;14;4;3;8;;;;;KO
76;D;Dc;Romagnoli S.;Frosinone;6;5;1;6;5;1;6;6;2;6;6;2;;;;;KO
4409;D;Dc;Rrahmani;Napoli;14;14;0;14;14;0;44;44;18;3;2;8;;;;;KO
294;D;Dc;Rugani;Juventus;2;3;-1;2;3;-1;6;6;2;6;6;2;;;;;KO
5354;D;"Ds;E";Ruggeri;Atalanta;5;3;2;6;4;2;10;8;4;5;11;4;;;;sostituto di bakker.;KO
791;D;"Dd;Ds;E";Sabelli;Genoa;5;4;1;6;5;1;12;12;5;5;3;6;;;;;KO
5856;D;"Dd;E";Sambia;Salernitana;3;4;-1;3;4;-1;5;5;2;6;6;4;;;;;KO
6474;D;Dc;Sazonov;Torino;3;3;0;3;3;0;4;4;2;6;9;4;;;;;KO
5526;D;Dc;Scalvini;Atalanta;10;9;1;10;9;1;30;30;12;4;3;8;;;;costante;KO
6041;D;Dc;Schuurs;Torino;15;14;1;15;14;1;46;46;18;3;1;8;;;;+;KO
6223;D;Dc;Smajlovic;Lecce;1;1;0;1;1;0;1;1;0;7;9;2;;;;;KO
4245;D;Dc;Smalling;Roma;14;15;-1;14;15;-1;46;50;18;3;1;8;;;;spero a poco;KO
5686;D;E;Soppy;Torino;1;2;-1;1;2;-1;3;3;1;6;10;2;;;;tanta concorrenza;KO
4891;D;Dc;Soumaoro;Bologna;3;4;-1;3;4;-1;5;5;2;6;6;6;;;;Infortunato (Maggio-Gennaio);KO
1852;D;E;Spinazzola;Roma;12;10;2;11;9;2;26;22;10;4;4;7;;;;;KO
5812;D;"Dd;E";Terracciano F.;Verona;4;3;1;4;3;1;7;7;3;6;4;5;;;;;KO
6055;D;Dc;Thiaw;Milan;11;10;1;11;10;1;27;27;11;4;3;7;;;;titolare;KO
4426;D;"Dd;E";Toljan;Sassuolo;6;6;0;6;6;0;9;9;4;5;2;5;;;;;KO
