Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
186;A;REBIC;6;0;0;0;0;0;0;0;0;0;0;0
4510;A;RAFAEL LEAO;7;1;0;0;0;0;0;0;0;0;1;0
676;ALL;PIOLI;7,5;0;0;0;0;0;0;0;0;0;0;0
NAPOLI;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
572;P;MERET;6,5;0;1;0;0;0;0;0;0;0;0;0
142;D;MARIO RUI;6;0;0;0;0;0;0;1;0;1;0;0
256;D;JUAN JESUS;6*;0;0;0;0;0;0;0;0;0;0;0
392;D;KOULIBALY;6,5;0;0;0;0;0;0;0;0;0;0;0
2816;D;DI LORENZO;5;0;0;0;0;0;0;1;0;0;0;0
459;D;MANOLAS;6;0;0;0;0;0;0;0;0;0;0;0
2775;C;RUIZ;6,5;1;0;0;0;0;0;0;0;0;0;0
4287;C;LOBOTKA;6,5;0;0;0;0;0;0;0;0;0;0;0
4364;C;GAETANO;6*;0;0;0;0;0;0;0;0;0;0;0
4479;C;ELMAS;6;0;0;0;0;0;0;0;0;0;0;0
4517;A;LOZANO;5;0;0;0;0;0;0;0;0;0;0;0
2195;A;OUNAS;6,5;0;0;0;0;0;0;0;0;0;0;0
383;A;PETAGNA;7;1;0;0;0;0;0;0;0;0;1;0
409;A;INSIGNE;6,5;0;0;0;0;0;0;0;0;0;0;0
536;A;POLITANO;6,5;0;0;0;0;0;0;1;0;1;0;0
782;ALL;SPALLETTI;7;0;0;0;0;0;0;0;0;0;0;0
ROMA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4270;P;RUI PATRICIO;6;0;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI;6,5;0;0;0;0;0;0;0;0;0;0;0
4945;D;CALAFIORI;6*;0;0;0;0;0;0;0;0;0;0;0
4331;D;IBANEZ;6,5;0;0;0;0;0;0;0;0;0;0;0
5509;D;VINA;7;0;0;0;0;0;0;0;0;1;0;0
2180;D;KARSDORP;6,5;0;0;0;0;0;0;0;0;0;0;0
2215;C;VERETOUT;7,5;1;0;0;0;0;0;0;0;1;0;0
2529;C;MKHITARYAN;6,5;0;0;0;0;0;0;1;0;1;0;0
58;C;DIAWARA;6*;0;0;0;0;0;0;0;0;0;0;0
530;C;PELLEGRINI LO.;8;2;0;0;0;0;0;0;0;0;1;0
779;C;CRISTANTE;6,5;0;0;0;0;0;0;0;0;0;0;0
4884;A;CARLES PEREZ;6,5;0;0;0;0;0;0;1;0;1;0;0
2544;A;ABRAHAM;7;1;0;0;0;0;0;0;0;0;0;0
5233;A;MAYORAL;6*;0;0;0;0;0;0;0;0;0;0;0
5311;A;SHOMURODOV;6*;0;0;0;0;0;0;0;0;0;0;0
795;A;EL SHAARAWY;6;0;0;0;0;0;0;0;0;0;0;0
5190;ALL;MOURINHO;7;0;0;0;0;0;0;0;0;0;0;0
SALERNITANA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
720;P;BELEC;5,5;0;4;0;0;0;0;0;0;0;0;0
4433;D;ZORTEA;5;0;0;0;0;0;0;0;0;0;0;0
5354;D;RUGGERI;5;0;0;0;0;0;0;0;0;0;0;0
660;D;GYOMBER;5;0;0;0;0;0;0;0;0;0;0;0
5463;D;AYA;5;0;0;0;0;0;0;1;0;0;0;0
5503;D;KECHRIDA;5;0;0;0;0;0;0;0;0;0;0;0
2208;D;JAROSZYNSKI;5;0;0;0;0;0;0;0;0;0;0;0
560;C;OBI;6;0;0;0;0;0;0;0;0;0;0;0
5469;C;DI TACCHIO;5;0;0;0;0;0;0;0;0;0;0;0
5470;C;SCHIAVONE;6*;0;0;0;0;0;0;0;0;0;0;0
2144;C;COULIBALY M.;5;0;0;0;0;0;0;0;0;0;0;0
5504;C;COULIBALY L.;5,5;0;0;0;0;0;0;0;0;0;0;0
173;C;CAPEZZI;5,5;0;0;0;0;0;0;0;0;0;0;0
505;A;BONAZZOLI;5,5;0;0;0;0;0;0;1;0;0;0;0
1997;A;SIMY;5,5;0;0;0;0;0;0;0;0;0;0;0
5472;A;KRISTOFFERSEN;6*;0;0;0;0;0;0;0;0;0;0;0
679;ALL;CASTORI;5;0;0;0;0;0;0;0;0;0;0;0
SAMPDORIA;;;;;;;;;;;;;;
