Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2784;D;Dc;Colley;Sampdoria;16;5,72;5,75;1;0;0;0;0;0;0;5;0;0
2865;D;E;Aina;Torino;16;5,88;5,97;1;0;0;0;0;0;1;5;0;0
4378;D;"Ds;Dc;E";Ranieri L.;Fiorentina;8;6,12;6,06;0;0;0;0;0;0;0;1;0;0
4426;D;"Dd;E";Toljan;Sassuolo;31;5,63;5,61;0;0;0;0;0;0;1;3;0;0
4502;D;"Ds;E";Gallo;Lecce;31;5,89;5,71;0;0;0;0;0;0;1;3;1;2
4887;D;E;Bellanova;Inter;11;5,86;5,86;0;0;0;0;0;0;0;0;0;0
4891;D;Dc;Soumaoro;Bologna;23;5,91;5,8;0;0;0;0;0;0;0;3;1;0
5010;D;Dc;Ismajli;Empoli;25;6;5,86;0;0;0;0;0;0;0;3;0;1
5017;D;"Ds;E";Ballo-Toure';Milan;7;5,71;6,14;1;0;0;0;0;0;0;0;0;0
5316;D;"Ds;Dc";Amione;Sampdoria;27;5,65;5,59;1;0;0;0;0;0;1;9;1;0
5678;D;"Dd;E";Holm;Spezia;19;6,05;6,16;1;0;0;0;0;0;1;4;0;0
5831;D;Dc;Gatti;Juventus;16;5,81;5,69;0;0;0;0;0;0;0;4;0;0
5838;D;"Dd;Ds;E";Birindelli;Monza;30;5,83;5,77;0;0;0;0;0;0;2;8;0;0
5848;D;"Dd;E";Ebosele;Udinese;10;6;6;0;0;0;0;0;0;1;4;0;0
5856;D;"Dd;E";Sambia;Salernitana;13;5,77;5,81;0;0;0;0;0;0;1;3;0;0
6042;D;Dc;Lucumi';Bologna;33;5,85;5,7;0;0;0;0;0;0;1;8;0;1
45;D;"Dd;Dc";Ferrari A.;Cremonese;27;5,61;5,5;0;0;0;0;0;0;0;6;0;0
261;D;Dc;Ranocchia;Monza;1;5;5;0;0;0;0;0;0;0;0;0;0
640;D;Dc;Chiriches;Cremonese;15;5,97;5,77;0;0;0;0;0;0;0;2;0;1
729;D;"Dd;E";Pereira P.;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2181;D;Dc;Palomino;Atalanta;14;5,89;5,82;1;0;0;0;0;0;0;4;0;1
2192;D;Dc;Bonifazi;Bologna;13;5,73;5,65;0;0;0;0;0;0;0;2;0;0
2263;D;"Dd;E";Lazzari;Lazio;27;5,98;5,76;0;0;0;0;0;0;0;8;0;1
2280;D;Dc;Nuytinck;Sampdoria;24;5,77;5,71;0;0;0;0;0;0;1;5;0;0
2758;D;Dc;Gunter;Sampdoria;23;5,67;5,74;1;0;0;0;0;0;1;5;0;0
2769;D;Dc;Magnani;Verona;24;5,83;5,6;0;0;0;0;0;0;1;7;1;1
4323;D;"Ds;E";Zeegelaar;Udinese;6;5,75;6;1;0;0;0;0;0;0;1;1;0
4407;D;"Ds;Dc";Igor;Fiorentina;26;5,73;5,54;0;0;0;0;0;0;0;8;1;0
4493;D;Dc;Dawidowicz;Verona;22;5,84;5,84;1;0;0;0;0;0;1;6;1;0
4657;D;"Dd;E";Celik;Roma;21;5,74;5,62;0;0;0;0;0;0;1;5;1;0
5450;D;"Dd;E";Stojanovic;Empoli;24;5,75;5,73;0;0;0;0;0;0;1;3;0;0
5475;D;"Dd;Dc";Amian;Spezia;30;5,63;5,52;0;0;0;0;0;0;0;5;1;0
