Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
4975;C;"M;C";Escalante;Cremonese;3;6;72;7;;;;;;2;
4976;D;"Dd;Dc";Kalulu;Milan;14;33;76;7;;;;;;13;
4977;P;Por;Ravaglia;Sampdoria;1;1;10;2;;;;;;0;
4979;D;"Dd;Dc";Ayhan;Sassuolo;5;8;55;4;;;;;;3;
4982;D;Dc;Erlic;Sassuolo;9;13;71;7;;;;;;5;
4983;D;"Dd;Ds;E";Ferrer;Spezia;3;5;53;4;;;;;;2;
4987;C;C;Bartolomei;Cremonese;1;1;;;;;;;;0;
4988;C;"C;T";Maggiore;Salernitana;10;23;72;8;;;;;;9;
4992;C;"W;A";Gyasi;Spezia;10;23;70;8;3;;;;;9;
4994;D;E;Vojvoda;Torino;9;16;74;9;;;;;;6;
5001;C;"T;A";Miranchuk;Torino;9;35;77;8;3;1;;;;14;inizio ottobre
5005;P;Por;Zoet;Spezia;1;1;15;2;;;;;;0;
5007;C;"C;T";Ilic;Verona;12;27;76;8;;3;;;;11;forse via
5010;D;Dc;Ismajli;Empoli;3;7;60;7;;;;;;3;
5017;D;"Ds;E";Ballo-Toure';Milan;2;2;44;3;;;;;;1;
5063;C;W;Radonjic;Torino;8;18;77;8;;;;;;7;
5119;C;T;Samardzic;Udinese;8;12;60;4;;3;;;;5;
5287;C;"M;C";Arslan;Udinese;6;8;55;5;;;;;;3;
5292;A;Pc;Lammers;Empoli;15;35;75;7;3;;;;;14;
5298;C;"C;T";Pobega;Milan;9;19;65;5;;;;;;8;
5304;P;Por;Boer;Roma;1;1;18;1;;;;;;0;
5311;A;Pc;Shomurodov;Roma;12;16;62;4;;;;;;6;forse bologna
5316;D;"Ds;Dc";Amione;Verona;2;4;30;2;;;;;;2;
5323;D;Dc;Martinez Quarta;Fiorentina;4;8;70;6;;;;;;3;
5329;C;"M;C";Makengo;Udinese;8;11;59;5;;;;;;4;
5332;D;"E;C";Bastoni S.;Spezia;12;22;74;7;;3;;;;9;
5336;A;Pc;Nzola;Spezia;15;49;71;7;1;;;;;20;
5354;D;"Ds;E";Ruggeri;Atalanta;1;1;34;2;;;;;;0;
